Date,Open,High,Low,Close,Adj Close,Volume
2013-08-27,50.83,50.98,46.68,47.16,36.63,67949685
2013-08-28,45.55,46.46,43.22,45.17,35.09,88139505
2013-08-29,46.6,47.34,44.7,46.5,36.12,66257745
2013-08-30,46.92,49.7,46.2,48.67,37.81,83708730
2013-09-02,49.3,51.18,49.2,50.59,39.3,51970255
2013-09-03,51.04,51.24,45.22,45.82,35.59,76228885
2013-09-04,46.0,48.5,44.6,47.21,36.67,76147375
2013-09-05,50.0,58.68,50.0,57.5,44.67,155685515
2013-09-06,58.94,59.26,56.02,58.59,45.51,92734175
2013-09-10,60.0,62.79,60.0,61.38,47.68,74394495
2013-09-11,60.59,61.2,58.76,60.75,47.19,69387605
2013-09-12,61.14,61.38,55.26,56.24,43.69,71756585
2013-09-13,55.8,57.55,54.84,56.24,43.69,74714580
2013-09-16,59.02,60.0,56.72,58.34,45.32,63017875
2013-09-17,58.45,60.8,58.02,60.18,46.75,55299355
2013-09-18,61.0,63.88,60.54,63.17,49.07,70870750
2013-09-19,69.48,78.94,69.48,77.34,60.08,171000505
2013-09-20,78.0,78.0,67.0,71.21,55.32,175198035
2013-09-23,69.36,72.17,64.71,65.46,50.85,100282825
2013-09-24,64.25,67.1,63.3,63.78,49.54,113573695
2013-09-25,64.4,64.91,61.26,62.82,48.8,89735180
2013-09-26,63.2,64.45,62.2,63.16,49.06,71720310
2013-09-27,63.56,64.0,60.4,60.92,47.32,58042975
2013-09-30,59.8,59.8,57.23,57.47,44.64,54582960
2013-10-01,57.8,59.72,56.08,58.98,45.82,93841295
2013-10-03,59.4,62.57,59.2,62.13,48.26,70843410
2013-10-04,61.2,63.78,60.92,63.07,48.99,81777845
2013-10-07,63.0,63.54,61.27,63.11,49.02,50897750
2013-10-08,67.8,69.0,65.41,65.79,51.11,87997525
2013-10-09,63.85,68.49,63.85,68.15,52.94,76793695
2013-10-10,68.0,68.98,67.23,68.45,53.17,51421145
2013-10-11,70.02,70.4,68.5,69.51,53.99,49562650
2013-10-14,69.76,70.96,69.2,69.73,54.17,36451545
2013-10-15,70.6,70.71,65.8,66.22,51.44,59872630
2013-10-17,66.92,68.18,65.27,67.16,52.17,48868490
2013-10-18,67.38,69.59,67.3,69.26,53.8,36973820
2013-10-21,69.86,72.14,69.65,71.73,55.72,47494135
2013-10-22,72.05,74.98,69.8,74.4,57.79,123371010
2013-10-23,75.33,76.38,73.11,74.8,58.1,80269010
2013-10-24,75.1,75.99,72.14,72.54,56.35,52911405
2013-10-25,72.16,72.45,70.89,71.1,55.23,34500465
2013-10-28,71.52,72.3,69.08,69.48,53.97,25681580
2013-10-29,69.4,74.62,68.23,74.28,57.7,79565345
2013-10-30,74.96,75.96,73.64,74.47,57.85,46732700
2013-10-31,74.0,74.59,73.08,73.76,57.3,37250975
2013-11-01,73.8,77.25,73.3,75.62,58.74,53064905
2013-11-05,75.69,76.6,73.62,75.17,58.39,45440740
2013-11-06,74.94,75.48,72.82,73.68,57.23,31461630
2013-11-07,74.2,74.99,71.91,72.15,56.05,34542345
2013-11-08,72.53,73.08,70.48,70.85,55.04,40878305
2013-11-11,70.25,70.58,66.35,66.69,51.8,47216800
2013-11-12,66.97,68.5,65.16,65.79,51.11,34123545
2013-11-13,65.01,67.1,64.73,66.32,51.52,44134030
2013-11-14,68.2,70.72,68.04,70.25,54.57,43864960
2013-11-18,71.74,72.93,71.42,72.56,56.36,30517050
2013-11-19,72.73,73.36,72.11,72.72,56.49,20347880
2013-11-20,72.4,74.56,71.42,73.09,56.78,38597245
2013-11-21,71.99,72.41,70.31,70.88,55.06,38409310
2013-11-22,71.97,72.28,68.42,68.85,53.48,37653845
2013-11-25,69.87,70.48,68.64,70.17,54.51,38155805
2013-11-26,70.6,73.25,69.55,72.41,56.25,107280655
2013-11-27,72.4,72.8,70.43,71.19,55.3,27269055
2013-11-28,72.2,73.16,71.8,72.84,56.58,23337605
2013-11-29,72.36,74.66,72.36,73.73,57.27,27279320
2013-12-02,74.34,75.6,74.34,75.12,58.35,22308545
2013-12-03,74.4,74.9,73.7,74.31,57.72,16433240
2013-12-04,73.98,74.69,73.55,74.1,57.56,17567785
2013-12-05,76.2,79.75,76.0,79.01,61.37,58022885
2013-12-06,79.0,79.22,77.43,78.38,60.88,31192285
2013-12-09,82.4,82.98,78.46,79.01,61.37,33444000
2013-12-10,78.8,78.95,76.0,76.67,59.56,25058825
2013-12-11,75.92,77.74,75.15,77.3,60.05,27867240
2013-12-12,76.8,77.0,75.5,76.1,59.11,23110325
2013-12-13,74.9,75.1,72.9,73.12,56.8,19996840
2013-12-16,72.54,73.94,71.54,72.52,56.33,19521015
2013-12-17,73.98,74.04,72.17,72.75,56.51,18436680
2013-12-18,72.21,75.75,72.21,75.1,58.34,35406150
2013-12-19,75.6,75.94,72.68,72.9,56.63,21219360
2013-12-20,72.8,74.36,72.17,74.09,57.55,17083180
2013-12-23,74.3,76.27,74.3,75.91,58.97,17542200
2013-12-24,75.91,76.68,74.91,75.17,58.39,14710505
2013-12-26,75.48,75.99,73.93,74.24,57.67,14776655
2013-12-27,74.86,75.35,74.4,74.76,58.07,10444720
2013-12-30,74.8,75.47,73.5,73.7,57.25,10520705
2013-12-31,73.8,74.31,73.27,74.04,57.51,9363870
2014-01-01,74.6,75.16,74.22,74.89,58.17,6697155
2014-01-02,75.0,76.36,72.04,72.43,56.26,30635905
2014-01-03,71.6,74.29,71.6,73.96,57.45,19839425
2014-01-06,74.06,74.13,72.42,73.28,56.92,15155620
2014-01-07,73.2,73.78,71.86,73.03,56.73,24125140
2014-01-08,73.25,73.5,70.71,71.28,55.37,25616620
2014-01-09,71.14,71.14,69.6,70.03,54.4,19098620
2014-01-10,70.4,71.4,68.35,68.6,53.29,20346150
2014-01-13,68.6,69.75,67.0,67.75,52.63,24968885
2014-01-14,68.2,69.52,68.04,69.32,53.85,19910120
2014-01-15,70.18,71.36,68.46,70.61,54.85,64934430
2014-01-16,71.2,72.0,70.42,71.31,55.39,24749415
2014-01-17,70.6,71.52,69.88,70.23,54.55,20753925
2014-01-20,69.83,72.11,69.83,71.88,55.84,16425455
2014-01-21,72.06,73.27,72.06,72.64,56.43,15888735
2014-01-22,72.8,72.96,71.73,72.29,56.15,14133155
2014-01-23,72.19,72.45,71.1,71.5,55.54,13339170
2014-01-24,70.84,71.55,69.03,69.61,54.07,13383640
2014-01-27,68.0,68.18,64.0,64.33,49.97,37111925
2014-01-28,64.4,65.98,62.89,64.98,50.48,46534380
2014-01-29,65.64,66.34,63.6,64.16,49.84,22696605
2014-01-30,63.0,63.2,60.65,61.27,47.59,28954900
2014-01-31,61.62,62.36,60.82,61.53,47.8,33432480
2014-02-03,61.4,61.41,59.75,59.89,46.52,27475485
2014-02-04,59.02,61.16,58.28,60.68,47.14,39635305
2014-02-05,60.21,61.09,59.61,60.61,47.08,30274690
2014-02-06,60.84,62.05,60.31,61.0,47.38,27112565
2014-02-07,61.6,62.05,61.0,61.78,47.99,18804365
2014-02-10,62.02,62.69,61.13,61.56,47.82,16384370
2014-02-11,61.53,62.16,61.02,61.26,47.59,13932460
2014-02-12,61.8,62.39,60.42,60.62,47.09,26281690
2014-02-13,61.0,61.1,58.82,58.97,45.81,24896975
2014-02-14,59.8,60.4,58.83,60.13,46.71,17736015
2014-02-17,60.48,61.4,59.41,61.03,47.41,26114905
2014-02-18,61.2,62.2,60.76,61.54,47.8,27827705
2014-02-19,61.98,62.1,61.0,61.39,47.69,18059465
